Fips_code,PM2.5 24hr 2012 99th Percentile,SO2 1-hour 2010,Ozone 1-hour 1979,NO2 1-hour,Coal_plants,Power_plants,Airports,Public_Schools,Private_Schools,Hospitals,Fuel_Stations,Land_area(mi^2),Population,Number_of_resident_workers,Number_of_business_establishments,Route_miles_of_freight_railroad,Route_miles_of_passenger_railroad_and_rail_transit,Total_Docks,Number_of_Bridges
18005,1,0,0.05,0,0,0,7,19,7,1,0,413.46,379299,170280,9192,133,0,0,601
18011,1,0,0.049,0,0,0,18,17,8,1,5,542.41,11758,5180,244,16.9,0,0,75
18013,1,0,0.054,0,0,0,3,6,0,0,1,562.57,67843,30910,1525,23.4,4.6,0,286
18015,1,0,0.045,0,0,0,11,6,1,0,0,713.81,15092,6855,348,11.3,0,0,113
18019,2,0,0.055,0,0,0,10,33,4,4,7,684.25,37689,17165,679,55.3,0,0,186
18035,2,0,0.05,0,0,0,9,36,3,3,2,406.91,43475,19990,976,58.4,20.2,0,147
18037,1,0,0,0,0,0,3,18,2,1,1,406.42,114135,50780,2455,65.9,0,0,275
18039,1,0,0.046,0,0,0,15,57,43,3,11,165.08,42736,21760,1290,50.4,2.7,0,218
18043,1,2.5,0.055,0,1,0,5,17,4,3,5,311.98,23102,9375,446,29.9,24.9,0,100
18051,1,26.8,0,0,1,0,8,13,3,1,0,357.54,19974,9095,462,7.2,0,0,83
18055,1,0,0.05,0,0,0,7,14,0,1,1,305.64,65769,28845,1291,65.9,0,0,276
18057,1,0,0.049,0,0,0,18,71,25,8,13,429.49,31922,13975,562,85.8,0,0,239
18063,1,0,0.049,0,0,0,13,43,1,2,10,362.82,40515,17885,694,24.9,7.8,0,124
18065,2,0,0,0,0,0,6,18,3,1,3,392.12,170311,78170,3293,46.7,17.2,0,342
18067,2,0,0.048,0,0,0,5,27,6,3,0,427.27,47972,19515,834,29.4,0,0,205
18089,2,31.5,0.049,37.3,0,0,24,131,28,16,26,306.02,39614,15865,852,4.1,0,0,100
18091,2,0,0.049,0,1,0,13,36,8,3,8,484.52,485493,209790,10090,276.6,62.8,8,491
18095,1,0,0.05,0,0,0,0,31,7,5,6,391.88,45370,20385,934,25,0,0,165
